image_path,label
dataset/SMDD_train/os25k_bf_t/img396170.png,bonafide
dataset/SMDD_train/os25k_bf_t/img271649.png,bonafide
dataset/SMDD_train/os25k_bf_t/img351536.png,bonafide
dataset/SMDD_train/os25k_bf_t/img293129.png,bonafide
dataset/SMDD_train/os25k_bf_t/img430081.png,bonafide
dataset/SMDD_train/os25k_bf_t/img532573.png,bonafide
dataset/SMDD_train/os25k_bf_t/img166797.png,bonafide
dataset/SMDD_train/os25k_bf_t/img032290.png,bonafide
dataset/SMDD_train/os25k_bf_t/img146637.png,bonafide
dataset/SMDD_train/os25k_bf_t/img464738.png,bonafide
dataset/SMDD_train/os25k_bf_t/img098954.png,bonafide
dataset/SMDD_train/os25k_bf_t/img391705.png,bonafide
dataset/SMDD_train/os25k_bf_t/img341886.png,bonafide
dataset/SMDD_train/os25k_bf_t/img271055.png,bonafide
dataset/SMDD_train/os25k_bf_t/img240280.png,bonafide
dataset/SMDD_train/os25k_bf_t/img541665.png,bonafide
dataset/SMDD_train/os25k_bf_t/img042984.png,bonafide
dataset/SMDD_train/os25k_bf_t/img278111.png,bonafide
dataset/SMDD_train/os25k_bf_t/img223329.png,bonafide
dataset/SMDD_train/os25k_bf_t/img236730.png,bonafide
dataset/SMDD_train/os25k_bf_t/img184987.png,bonafide
dataset/SMDD_train/os25k_bf_t/img300520.png,bonafide
dataset/SMDD_train/os25k_bf_t/img083500.png,bonafide
dataset/SMDD_train/os25k_bf_t/img217355.png,bonafide
dataset/SMDD_train/os25k_bf_t/img433415.png,bonafide
dataset/SMDD_train/os25k_bf_t/img182802.png,bonafide
dataset/SMDD_train/os25k_bf_t/img202864.png,bonafide
dataset/SMDD_train/os25k_bf_t/img241727.png,bonafide
dataset/SMDD_train/os25k_bf_t/img295333.png,bonafide
dataset/SMDD_train/os25k_bf_t/img234348.png,bonafide
dataset/SMDD_train/os25k_bf_t/img113392.png,bonafide
dataset/SMDD_train/os25k_bf_t/img004381.png,bonafide
dataset/SMDD_train/os25k_bf_t/img518348.png,bonafide
dataset/SMDD_train/os25k_bf_t/img055060.png,bonafide
dataset/SMDD_train/os25k_bf_t/img050457.png,bonafide
dataset/SMDD_train/os25k_bf_t/img405526.png,bonafide
dataset/SMDD_train/os25k_bf_t/img162368.png,bonafide
dataset/SMDD_train/os25k_bf_t/img169872.png,bonafide
dataset/SMDD_train/os25k_bf_t/img099226.png,bonafide
dataset/SMDD_train/os25k_bf_t/img235508.png,bonafide
dataset/SMDD_train/os25k_bf_t/img117634.png,bonafide
dataset/SMDD_train/os25k_bf_t/img135037.png,bonafide
dataset/SMDD_train/os25k_bf_t/img493788.png,bonafide
dataset/SMDD_train/os25k_bf_t/img399083.png,bonafide
dataset/SMDD_train/os25k_bf_t/img083695.png,bonafide
dataset/SMDD_train/os25k_bf_t/img249440.png,bonafide
dataset/SMDD_train/os25k_bf_t/img159691.png,bonafide
dataset/SMDD_train/os25k_bf_t/img306930.png,bonafide
dataset/SMDD_train/os25k_bf_t/img341983.png,bonafide
dataset/SMDD_train/os25k_bf_t/img387451.png,bonafide
dataset/SMDD_train/os25k_bf_t/img311598.png,bonafide
dataset/SMDD_train/os25k_bf_t/img163954.png,bonafide
dataset/SMDD_train/os25k_bf_t/img468037.png,bonafide
dataset/SMDD_train/os25k_bf_t/img198354.png,bonafide
dataset/SMDD_train/os25k_bf_t/img294443.png,bonafide
dataset/SMDD_train/os25k_bf_t/img068911.png,bonafide
dataset/SMDD_train/os25k_bf_t/img113585.png,bonafide
dataset/SMDD_train/os25k_bf_t/img314763.png,bonafide
dataset/SMDD_train/os25k_bf_t/img079783.png,bonafide
dataset/SMDD_train/os25k_bf_t/img221447.png,bonafide
dataset/SMDD_train/os25k_bf_t/img323338.png,bonafide
dataset/SMDD_train/os25k_bf_t/img103359.png,bonafide
dataset/SMDD_train/os25k_bf_t/img468073.png,bonafide
dataset/SMDD_train/os25k_bf_t/img290417.png,bonafide
dataset/SMDD_train/os25k_bf_t/img388568.png,bonafide
dataset/SMDD_train/os25k_bf_t/img050158.png,bonafide
dataset/SMDD_train/os25k_bf_t/img279908.png,bonafide
dataset/SMDD_train/os25k_bf_t/img465077.png,bonafide
dataset/SMDD_train/os25k_bf_t/img342863.png,bonafide
dataset/SMDD_train/os25k_bf_t/img057116.png,bonafide
dataset/SMDD_train/os25k_bf_t/img354971.png,bonafide
dataset/SMDD_train/os25k_bf_t/img035726.png,bonafide
dataset/SMDD_train/os25k_bf_t/img234119.png,bonafide
dataset/SMDD_train/os25k_bf_t/img013761.png,bonafide
dataset/SMDD_train/os25k_bf_t/img100638.png,bonafide
dataset/SMDD_train/os25k_bf_t/img143065.png,bonafide
dataset/SMDD_train/os25k_bf_t/img305412.png,bonafide
dataset/SMDD_train/os25k_bf_t/img276663.png,bonafide
dataset/SMDD_train/os25k_bf_t/img242294.png,bonafide
dataset/SMDD_train/os25k_bf_t/img478178.png,bonafide
dataset/SMDD_train/os25k_bf_t/img350066.png,bonafide
dataset/SMDD_train/os25k_bf_t/img455391.png,bonafide
dataset/SMDD_train/os25k_bf_t/img100799.png,bonafide
dataset/SMDD_train/os25k_bf_t/img359924.png,bonafide
dataset/SMDD_train/os25k_bf_t/img004837.png,bonafide
dataset/SMDD_train/os25k_bf_t/img342847.png,bonafide
dataset/SMDD_train/os25k_bf_t/img022520.png,bonafide
dataset/SMDD_train/os25k_bf_t/img147142.png,bonafide
dataset/SMDD_train/os25k_bf_t/img461797.png,bonafide
dataset/SMDD_train/os25k_bf_t/img517487.png,bonafide
dataset/SMDD_train/os25k_bf_t/img050668.png,bonafide
dataset/SMDD_train/os25k_bf_t/img356988.png,bonafide
dataset/SMDD_train/os25k_bf_t/img291228.png,bonafide
dataset/SMDD_train/os25k_bf_t/img042695.png,bonafide
dataset/SMDD_train/os25k_bf_t/img097705.png,bonafide
dataset/SMDD_train/os25k_bf_t/img416180.png,bonafide
dataset/SMDD_train/os25k_bf_t/img021779.png,bonafide
dataset/SMDD_train/os25k_bf_t/img166388.png,bonafide
dataset/SMDD_train/os25k_bf_t/img386862.png,bonafide
dataset/SMDD_train/os25k_bf_t/img347230.png,bonafide
dataset/SMDD_train/os25k_bf_t/img118562.png,bonafide
dataset/SMDD_train/os25k_bf_t/img554495.png,bonafide
dataset/SMDD_train/os25k_bf_t/img094507.png,bonafide
dataset/SMDD_train/os25k_bf_t/img170232.png,bonafide
dataset/SMDD_train/os25k_bf_t/img325517.png,bonafide
dataset/SMDD_train/os25k_bf_t/img268383.png,bonafide
dataset/SMDD_train/os25k_bf_t/img077356.png,bonafide
dataset/SMDD_train/os25k_bf_t/img208547.png,bonafide
dataset/SMDD_train/os25k_bf_t/img283071.png,bonafide
dataset/SMDD_train/os25k_bf_t/img512058.png,bonafide
dataset/SMDD_train/os25k_bf_t/img263319.png,bonafide
dataset/SMDD_train/os25k_bf_t/img235182.png,bonafide
dataset/SMDD_train/os25k_bf_t/img009799.png,bonafide
dataset/SMDD_train/os25k_bf_t/img177435.png,bonafide
dataset/SMDD_train/os25k_bf_t/img370695.png,bonafide
dataset/SMDD_train/os25k_bf_t/img044593.png,bonafide
dataset/SMDD_train/os25k_bf_t/img090837.png,bonafide
dataset/SMDD_train/os25k_bf_t/img211849.png,bonafide
dataset/SMDD_train/os25k_bf_t/img344664.png,bonafide
dataset/SMDD_train/os25k_bf_t/img548364.png,bonafide
dataset/SMDD_train/os25k_bf_t/img245340.png,bonafide
dataset/SMDD_train/os25k_bf_t/img426442.png,bonafide
dataset/SMDD_train/os25k_bf_t/img468722.png,bonafide
dataset/SMDD_train/os25k_bf_t/img314613.png,bonafide
dataset/SMDD_train/os25k_bf_t/img112754.png,bonafide
dataset/SMDD_train/os25k_bf_t/img442444.png,bonafide
dataset/SMDD_train/os25k_bf_t/img197164.png,bonafide
dataset/SMDD_train/os25k_bf_t/img423602.png,bonafide
dataset/SMDD_train/os25k_bf_t/img087036.png,bonafide
dataset/SMDD_train/os25k_bf_t/img020632.png,bonafide
dataset/SMDD_train/os25k_bf_t/img509754.png,bonafide
dataset/SMDD_train/os25k_bf_t/img167702.png,bonafide
dataset/SMDD_train/os25k_bf_t/img097713.png,bonafide
dataset/SMDD_train/os25k_bf_t/img404376.png,bonafide
dataset/SMDD_train/os25k_bf_t/img347878.png,bonafide
dataset/SMDD_train/os25k_bf_t/img428370.png,bonafide
dataset/SMDD_train/os25k_bf_t/img066441.png,bonafide
dataset/SMDD_train/os25k_bf_t/img509763.png,bonafide
dataset/SMDD_train/os25k_bf_t/img351582.png,bonafide
dataset/SMDD_train/os25k_bf_t/img078496.png,bonafide
dataset/SMDD_train/os25k_bf_t/img155640.png,bonafide
dataset/SMDD_train/os25k_bf_t/img350557.png,bonafide
dataset/SMDD_train/os25k_bf_t/img266414.png,bonafide
dataset/SMDD_train/os25k_bf_t/img401056.png,bonafide
dataset/SMDD_train/os25k_bf_t/img412892.png,bonafide
